Method	Drug	Size	Recall	Precision	Accuracy	Fscore	Specificity	tp	fp	tn	fn	un
tb_profiler	Clofazimine	r100000	0	1	1	0	1	0	0	6	0	0
tb_profiler	Clofazimine	r1000000	0	1	1	0	1	0	0	6	0	0
tb_profiler	Clofazimine	r5000	0	1	1	0	1	0	0	6	0	0
tb_profiler	Clofazimine	r50000	0	1	1	0	1	0	0	6	0	0
tb_profiler	Clofazimine	r500000	0	1	1	0	1	0	0	6	0	0
tb_profiler	Delamanid	r1000	0	1	1	0	1	0	0	2	0	0
tb_profiler	Delamanid	r10000	0	1	1	0	1	0	0	2	0	0
tb_profiler	Delamanid	r100000	0	1	1	0	1	0	0	2	0	0
tb_profiler	Delamanid	r1000000	0	1	1	0	1	0	0	2	0	0
tb_profiler	Delamanid	r5000	0	1	1	0	1	0	0	2	0	0
tb_profiler	Delamanid	r50000	0	1	1	0	1	0	0	2	0	0
tb_profiler	Delamanid	r500000	0	1	1	0	1	0	0	2	0	0
tb_profiler	Ethambutol	r1000	0.014018691588785	0.6	0.796561604584527	0.0273972602739726	0.997599039615846	3	2	831	211	0
tb_profiler	Ethambutol	r10000	0.0981308411214953	0.636363636363636	0.803827751196172	0.17004048582996	0.985559566787004	21	12	819	193	0
tb_profiler	Ethambutol	r100000	0.588785046728972	0.684782608695652	0.859884836852207	0.633165829145729	0.929951690821256	126	58	770	88	0
tb_profiler	Ethambutol	r1000000	0.924528301886792	0.720588235294118	0.911792905081496	0.809917355371901	0.908543922984356	196	76	755	16	0
tb_profiler	Ethambutol	r5000	0.0420560747663551	0.6	0.79847182425979	0.0786026200873362	0.992797118847539	9	6	827	205	0
tb_profiler	Ethambutol	r50000	0.392523364485981	0.682926829268293	0.837656099903939	0.498516320474778	0.952841596130592	84	39	788	130	0
tb_profiler	Ethambutol	r500000	0.905660377358491	0.713754646840149	0.906999041227229	0.798336798336798	0.90734055354994	192	77	754	20	0
tb_profiler	Ethionamide	r1000	0	1	0.551282051282051	0	1	0	0	43	35	0
tb_profiler	Ethionamide	r10000	0.0571428571428571	0.5	0.551282051282051	0.102564102564103	0.953488372093023	2	2	41	33	0
tb_profiler	Ethionamide	r100000	0.714285714285714	0.694444444444444	0.727272727272727	0.704225352112676	0.738095238095238	25	11	31	10	0
